date,day_of_week,month,or_size,gap_points,gap_direction,volume_ratio,signal_strength,regime,prev_day_result,entry_time,direction,pnl,win_loss,consecutive_losses_before,consecutive_wins_before,market_atr,drawdown_at_entry,exit_reason,points_captured
2024-10-16,Wednesday,10,115.5,-51.5,-1,1.176,66,breakout,win,09:50,short,-625.0,0,0,1,260.14,0.0,stop,-31.0
2024-10-18,Friday,10,69.0,81.5,1,0.929,74,breakout,loss,10:07,long,-625.0,0,1,0,250.52,1.25,stop,-31.0
2024-10-23,Wednesday,10,55.0,-88.75,-1,1.083,64,breakout,loss,10:03,short,-625.0,0,2,0,220.79,2.5,stop,-31.0
2024-10-25,Friday,10,98.5,148.25,1,1.364,86,breakout,loss,09:46,long,1185.0,1,3,0,225.32,3.75,target,59.5
2024-10-31,Thursday,10,116.5,-186.5,-1,1.36,86,breakout,win,09:45,short,1185.0,1,0,1,223.73,1.38,target,59.5
2024-11-05,Tuesday,11,95.75,107.38,1,0.89,66,breakout,win,09:49,long,1185.0,1,0,2,222.12,0.0,target,59.5
2024-11-07,Thursday,11,88.75,135.38,1,0.889,66,breakout,win,09:56,long,1185.0,1,0,3,239.25,0.0,target,59.5
2024-11-14,Thursday,11,95.75,-37.62,-1,0.996,72,breakout,win,10:18,short,-625.0,0,0,4,212.58,0.0,stop,-31.0
2024-11-15,Friday,11,86.75,-277.38,-1,1.176,76,breakout,loss,10:01,short,1185.0,1,1,0,211.68,1.19,target,59.5
2024-11-20,Wednesday,11,120.0,-87.25,-1,1.157,76,breakout,win,09:58,short,1185.0,1,0,1,230.23,0.0,target,59.5
2024-11-26,Tuesday,11,64.25,91.38,1,0.926,74,breakout,win,09:49,long,-625.0,0,0,2,247.91,0.0,stop,-31.0
2024-11-27,Wednesday,11,87.0,-105.75,-1,0.887,76,breakout,loss,09:54,short,1185.0,1,1,0,236.05,1.15,target,59.5
2024-12-06,Friday,12,68.5,56.25,1,0.775,59,breakout,win,09:45,long,1185.0,1,0,1,164.38,0.0,target,59.5
2024-12-10,Tuesday,12,71.25,65.88,1,1.081,74,breakout,win,09:45,long,-625.0,0,0,2,175.58,0.0,stop,-31.0
2024-12-11,Wednesday,12,66.5,193.0,1,1.229,94,breakout,loss,09:45,long,1185.0,1,1,0,186.79,1.22,target,59.5
